"TRAIN_FROM";"TRAIN_TO";"CAR1";"TRAIN_PUZHEN_CAR1";"TRAIN_SMH_CAR1";"CAR2";"TRAIN_PUZHEN_CAR2";"TRAIN_SMH_CAR2";"CAR3";"TRAIN_PUZHEN_CAR3";"TRAIN_SMH_CAR3";"CAR4";"TRAIN_PUZHEN_CAR4";"TRAIN_SMH_CAR4";"DATE_DELIVERED";"COMMENTS";"DATA_DATE"
"2";"24";"";"";"";"";"";"";"";"";"";"";"";"";"";"Triain 1 - 24 delivered to SUBD as per agreed SSSC target programme - by 23/12/15, and have completed dynamic test. Train 1 sent back to Rasa on 04/04/2016 for rework.";"2016-01-31"
"2";"30";"";"";"";"";"";"";"";"";"";"";"";"";"";"Triain 1 - 30 delivered to SUBD. Train 1 sent back to Rasa on 04/04/2016 for rework.";"2016-03-31"
"25";"";"1251";"";"";"1253";"";"";"1254";"";"";"1252";"";"";"29-Jan-2016";"";"2016-01-31"
"31";"";"1311";"";"";"1313";"";"";"1314";"";"";"1312";"";"";"01-Apr-2016";"";"2016-03-31"
"26";"";"1261";"";"";"1263";"";"";"1264";"";"";"1262";"";"";"13-Feb-2016";"";"2016-01-31"
"32";"";"1321";"";"";"1323";"";"";"1324";"";"";"1322";"";"";"13-Apr-2016";"";"2016-03-31"
"27";"";"1271";"";"";"1273";"";"";"1274";"";"";"1272";"";"";"23-Feb-2016";"";"2016-01-31"
"33";"";"M1065";"";"";"T2065";"";"";"T2066";"";"";"M1066";"";"";"23-Apr-2016";"";"2016-03-31"
"28";"";"1281";"";"";"1283";"";"";"1284";"";"";"1282";"";"";"08-Mar-2016";"";"2016-01-31"
"29";"";"1291";"";"";"1293";"";"";"1294";"";"";"1292";"";"";"18-Mar-2016";"";"2016-01-31"
"30";"";"1301";"";"";"1303";"";"";"1304";"";"";"1302";"";"";"25-Mar-2016";"";"2016-01-31"
"31";"";"1311";"";"";"1313";"";"";"1314";"";"";"1312";"";"";"01-Apr-2016";"";"2016-01-31"
"32";"";"1321";"";"";"1323";"";"";"1324";"";"";"1322";"";"";"13-Apr-2016";"";"2016-01-31"
